autoID,ScopeItemID,Description,LOB,BusinessArea,Status,AE,AR,AT,AU,BE,BG,BR,CA,CH,CL,CN,CO,CZ,DE,DK,EG,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IND,IT,JP,KR,KW,KZ,LU,MX,MY,NL,NR,NZ,OM,PE,PH,PL,PT,QA,RO,RS,RU,SA,SE,SG,SI,SK,TH,TR,TW,UA,US,ZA,Non_Localised
1,2QU,Analytics - Purchase Order Visibility and Procurement Spend,Application Platform and Infrastructure,Process Management and Integration,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
2,2QW,Analytics for Production Unit - Plan/Actual Production Cost,Application Platform and Infrastructure,Process Management and Integration,Available,Released,Released,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
3,1NN,Business Event Handling,Application Platform and Infrastructure,Process Management and Integration,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
4,6GD,Engineer Products and Systems - Project with Production,Application Platform and Infrastructure,Process Management and Integration,Available,Released,No,Released,Released,Released,No,No,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,No,Released,No,Released,No,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
5,1NJ,Responsibility Management,Application Platform and Infrastructure,Process Management and Integration,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
6,31N,Situation Handling,Application Platform and Infrastructure,Process Management and Integration,Available,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released,Released
7,BH1,Corrective Maintenance (successor: 4HH),Asset Management,Maintenance Management,Deprecated,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,No
8,BH2,Emergency Maintenance (successor: 4HH),Asset Management,Maintenance Management,Deprecated,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,No
9,4VT,Improvement Maintenance,Asset Management,Maintenance Management,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
10,3YE,Integration with Asset Central Foundation,Asset Management,Maintenance Management,Available,Released,No,Released,Released,Released,No,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,Released,No,Released,Released,Released,No,Released,Released,Released,Released,No,No,Released,Released,Released,Released,Released,Released,No,No,Released,Released,Released,No,Released,No,Released,Released,Released,Released,No,Released,Released,Released,Released,No,Released,Released,Released
